PLAYER_NAME,Team,Season,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,Games
Lonnie Walker IV,San Antonio Spurs,2021-22,0.38571428571428573,23.033190476190487,4.442857142857143,10.914285714285715,1.5857142857142856,5.042857142857143,1.6571428571428573,2.1142857142857143,0.2571428571428571,2.3285714285714287,2.585714285714286,2.1714285714285713,1.0142857142857142,0.6285714285714286,0.2714285714285714,0.38571428571428573,1.4,1.3,12.128571428571428,-1.1428571428571428,70
Lorenzen Wright,Atlanta Hawks,2000-01,0.323943661971831,27.985539906103284,5.112676056338028,11.422535211267606,0.0,0.028169014084507043,2.183098591549296,3.0422535211267605,2.535211267605634,5.0,7.535211267605634,1.2253521126760563,1.7605633802816902,0.5915492957746479,0.8873239436619719,0.8169014084507042,3.267605633802817,0.028169014084507043,12.408450704225352,-4.154929577464789,71
Lou Amundson,Phoenix Suns,2008-09,0.5394736842105263,13.733311403508774,1.763157894736842,3.289473684210526,0.0,0.013157894736842105,0.6973684210526315,1.5789473684210527,1.6842105263157894,1.868421052631579,3.5526315789473686,0.3684210526315789,0.7368421052631579,0.42105263157894735,0.8552631578947368,0.34210526315789475,2.026315789473684,1.368421052631579,4.223684210526316,0.21052631578947367,76
Lou Williams,Atlanta Hawks,2012-13,0.5641025641025641,28.692905982905984,4.794871794871795,11.35897435897436,1.8461538461538463,5.0256410256410255,2.6923076923076925,3.1025641025641026,0.20512820512820512,1.8461538461538463,2.051282051282051,3.5641025641025643,1.8974358974358974,1.1282051282051282,0.2564102564102564,0.5897435897435898,1.4102564102564104,2.6923076923076925,14.128205128205128,0.1282051282051282,39
Lou Williams,Los Angeles Clippers,2017-18,0.5316455696202531,32.773291139240506,7.367088607594937,16.924050632911392,2.3544303797468356,6.556962025316456,5.468354430379747,6.215189873417722,0.5063291139240507,2.0,2.5063291139240507,5.2784810126582276,2.962025316455696,1.0759493670886076,0.24050632911392406,1.0379746835443038,1.3417721518987342,4.6075949367088604,22.556962025316455,1.518987341772152,79
Lou Williams,Los Angeles Clippers,2019-20,0.676923076923077,28.672435897435896,6.015384615384615,14.4,1.7076923076923076,4.846153846153846,4.492307692307692,5.2153846153846155,0.47692307692307695,2.6153846153846154,3.0923076923076924,5.615384615384615,2.8,0.6615384615384615,0.18461538461538463,0.7692307692307693,1.2307692307692308,4.138461538461539,18.23076923076923,3.123076923076923,65
Lou Williams,Los Angeles Clippers,2020-21,0.6190476190476191,21.85206349206349,4.309523809523809,10.238095238095237,1.0714285714285714,2.8333333333333335,2.4523809523809526,2.8333333333333335,0.35714285714285715,1.7380952380952381,2.0952380952380953,3.4285714285714284,1.5714285714285714,0.9285714285714286,0.09523809523809523,0.6428571428571429,1.0,2.261904761904762,12.142857142857142,1.9761904761904763,42
Lou Williams,Philadelphia 76ers,2008-09,0.5061728395061729,23.69483539094649,4.148148148148148,10.419753086419753,0.7777777777777778,2.7160493827160495,3.753086419753086,4.753086419753086,0.4444444444444444,1.5925925925925926,2.037037037037037,2.9876543209876543,1.8641975308641976,1.0493827160493827,0.1728395061728395,0.8641975308641975,1.5802469135802468,3.691358024691358,12.82716049382716,-0.7530864197530864,81
Lou Williams,Philadelphia 76ers,2011-12,0.53125,26.276953124999995,4.96875,12.21875,1.296875,3.578125,3.703125,4.5625,0.46875,1.953125,2.421875,3.453125,1.109375,0.828125,0.28125,0.640625,1.40625,3.625,14.9375,3.578125,64
Luis Scola,Houston Rockets,2007-08,0.6707317073170732,24.67778455284553,4.2073170731707314,8.170731707317072,0.0,0.036585365853658534,1.9146341463414633,2.8658536585365852,2.1219512195121952,4.280487804878049,6.402439024390244,1.2926829268292683,1.2804878048780488,0.7317073170731707,0.23170731707317074,0.6341463414634146,2.8658536585365852,2.8292682926829267,10.329268292682928,2.048780487804878,82
